store_id,name,address,city,latitude,longitude,phone,working_hours
0771,"дер. Варзолово, ш. Гарболовское, зд. 2","дер. Варзолово, ш. Гарболовское, зд. 2",,,,,
3594,"п. Виллози, ул. Гатчинское шоссе, д.  7","п. Виллози, ул. Гатчинское шоссе, д.  7",,,,,
0774,"г. Всеволожск, г. п. Колтушское, 20-й километр Автодороги Кола, д. 40","г. Всеволожск, г. п. Колтушское, 20-й километр Автодороги Кола, д. 40",,,,,
0269,"г. Всеволожск, ш. Дорога Жизни, д. 12","г. Всеволожск, ш. Дорога Жизни, д. 12",,,,,
0062,"г. Всеволожск, ш. Дорога Жизни, д. 6","г. Всеволожск, ш. Дорога Жизни, д. 6",,,,,
0224,"г. Всеволожск, ш. Колтушское, д. 305","г. Всеволожск, ш. Колтушское, д. 305",,,,,
0766,"г. Всеволожск, п. Новое Токсово, ул. Парковая, д. 19, лит. Г","г. Всеволожск, п. Новое Токсово, ул. Парковая, д. 19, лит. Г",,,,,
0312,"г. Выборг, туп. Железнодорожный, д. 4","г. Выборг, туп. Железнодорожный, д. 4",,,,,
3500,"г. Выборг, ул. Мира, д. 1/23","г. Выборг, ул. Мира, д. 1/23",,,,,
0789,"г.п. Вырица, ул. Красная, д. 52","г.п. Вырица, ул. Красная, д. 52",,,,,
3543,"г. Гатчина, ул. Чехова, д. 14а, стр. 3","г. Гатчина, ул. Чехова, д. 14а, стр. 3",,,,,
0263,"г. Кингисепп, ш. Крикковское, д. 69","г. Кингисепп, ш. Крикковское, д. 69",,,,,
2553,"г. Кингисепп, ш. Крикковское, д. 69","г. Кингисепп, ш. Крикковское, д. 69",,,,,
0721,"г. Кириши, пр. Героев, д. 14А","г. Кириши, пр. Героев, д. 14А",,,,,
0741,"г. Кириши, пр. Героев, д. 33","г. Кириши, пр. Героев, д. 33",,,,,
3561,"г. Кировск, ул. Ладожская, д. 9, лит. А","г. Кировск, ул. Ладожская, д. 9, лит. А",,,,,
3553,"дер. Кисельня, ул. Центральная, 10/2, уч.","дер. Кисельня, ул. Центральная, 10/2, уч.",,,,,
0020,"г. Колпино, п. Тельмана, ул. Оборонная, д. 2Б, лит. А","г. Колпино, п. Тельмана, ул. Оборонная, д. 2Б, лит. А",,,,,
0743,"г. Колпино, ул. Пролетарская, д. 36, лит. А","г. Колпино, ул. Пролетарская, д. 36, лит. А",,,,,
0216,"г.  Красное Село, ул. Восстановления, д. 17","г.  Красное Село, ул. Восстановления, д. 17",,,,,
2307,"г. Кудрово, пр. Европейский, д. 16","г. Кудрово, пр. Европейский, д. 16",,,,,
2308,"г. Кудрово, пр. Европейский, д. 13, к. 6","г. Кудрово, пр. Европейский, д. 13, к. 6",,,,,
2313,"г. Кудрово, пр. Европейский, д. 3","г. Кудрово, пр. Европейский, д. 3",,,,,
0748,"г. Кудрово, пр. Европейский , д. 2","г. Кудрово, пр. Европейский , д. 2",,,,,
2300,"г. Кудрово, пер. Итальянский, д. 2, к. 2","г. Кудрово, пер. Итальянский, д. 2, к. 2",,,,,
0761,"г. Кудрово, ул. Пражская, стр. 6","г. Кудрово, ул. Пражская, стр. 6",,,,,
0048,"г. Кудрово, пр. Строителей, стр. 7","г. Кудрово, пр. Строителей, стр. 7",,,,,
2508,"г. Кудрово, пр. Строителей, стр. 7","г. Кудрово, пр. Строителей, стр. 7",,,,,
2303,"г. Кудрово, ул. Центральная, д. 8","г. Кудрово, ул. Центральная, д. 8",,,,,
3664,"п. Ленинское, ул. Советская, д. 2, лит. В","п. Ленинское, ул. Советская, д. 2, лит. В",,,,,
0722,"г. Ломоносов, ул. Михайловская, д. 40/7","г. Ломоносов, ул. Михайловская, д. 40/7",,,,,
0712,"г. Луга, ул. Урицкого, д. 77, к. 3","г. Луга, ул. Урицкого, д. 77, к. 3",,,,,
3522,"п. Мурино, бульвар Воронцовский, д. 16, корп. 1","п. Мурино, бульвар Воронцовский, д. 16, корп. 1",,,,,
0764,"п. Мурино, ул. Екатерининская, д. 16/5","п. Мурино, ул. Екатерининская, д. 16/5",,,,,
0782,"п. Мурино, ул. Екатерининская, д. 19","п. Мурино, ул. Екатерининская, д. 19",,,,,
2301,"п. Мурино, б-р Менделеева, д. 11, корп. 1","п. Мурино, б-р Менделеева, д. 11, корп. 1",,,,,
0706,"п. Мурино, пл. Привокзальная, д. 3, лит. Б","п. Мурино, пл. Привокзальная, д. 3, лит. Б",,,,,
0705,"п. Мурино, ул. Шувалова, д. 1","п. Мурино, ул. Шувалова, д. 1",,,,,
2314,"г. Мурино, ул. Шувалова, д. 11","г. Мурино, ул. Шувалова, д. 11",,,,,
2311,"п. Новогорелово, б-р Десантника Вадима Чугунова, д. 1, к. 1","п. Новогорелово, б-р Десантника Вадима Чугунова, д. 1, к. 1",,,,,
0316,"дер. Новое Девяткино, ул. Главная, 60, А","дер. Новое Девяткино, ул. Главная, 60, А",,,,,
2335,"д. Новосаратовка, ул. Первых, д. 4, к. 1","д. Новосаратовка, ул. Первых, д. 4, к. 1",,,,,
0015,"п. Парголово, ш. Выборгское, д. 216, к. 1, лит. А","п. Парголово, ш. Выборгское, д. 216, к. 1, лит. А",,,,,
2557,"п. Парголово, ш. Выборгское, д. 216/1","п. Парголово, ш. Выборгское, д. 216/1",,,,,
2312,"п. Парголово, ул. Заречная, д. 17","п. Парголово, ул. Заречная, д. 17",,,,,
0753,"п. Парголово, ул. Меркурьева, д. 3, стр. 1","п. Парголово, ул. Меркурьева, д. 3, стр. 1",,,,,
0738,"п. Парголово, ул. Михаила Дудина, д. 6, к. 1, стр. 1","п. Парголово, ул. Михаила Дудина, д. 6, к. 1, стр. 1",,,,,
3657,"п. Парголово, ш. Юкковское, д. 19, лит. А","п. Парголово, ш. Юкковское, д. 19, лит. А",,,,,
3504,"п. Первомайское, ул. Советская, д. 1, А","п. Первомайское, ул. Советская, д. 1, А",,,,,
3648,"пос. Пески, КП Алые Паруса","пос. Пески, КП Алые Паруса",,,,,
0264,"г. Петергоф, ш. Гостилицкое, д. 58, лит. А","г. Петергоф, ш. Гостилицкое, д. 58, лит. А",,,,,
2501,"г. Петергоф, ш. Гостилицкое, д. 58, лит. А","г. Петергоф, ш. Гостилицкое, д. 58, лит. А",,,,,
2012,"г. Петергоф, ш. Гостилицкое, д. 58, лит. А","г. Петергоф, ш. Гостилицкое, д. 58, лит. А",,,,,
0723,"г. Петергоф, пр. Санкт-Петербургский, д. 60","г. Петергоф, пр. Санкт-Петербургский, д. 60",,,,,
3655,"п. Победа, ул. Мира, д. 6а","п. Победа, ул. Мира, д. 6а",,,,,
0769,"г. Приозерск, ул. Красноармейская, д. 12","г. Приозерск, ул. Красноармейская, д. 12",,,,,
3679,"дер. Разметелево, д. 4, лит. Б","дер. Разметелево, д. 4, лит. Б",,,,,
3599,"п. Сельцо, д. 10","п. Сельцо, д. 10",,,,,
0767,"дер. Скотное, д. 1, лит. А","дер. Скотное, д. 1, лит. А",,,,,
3661,"п. Сосново, ул. Ленинградская, д. 71","п. Сосново, ул. Ленинградская, д. 71",,,,,
0270,"г. Сосновый Бор, ул. Академика Александрова, д. 2","г. Сосновый Бор, ул. Академика Александрова, д. 2",,,,,
2500,"г. Сосновый Бор, ул. Академика Александрова, д. 2","г. Сосновый Бор, ул. Академика Александрова, д. 2",,,,,
0714,"г. Сосновый Бор, пр. Героев, д. 78","г. Сосновый Бор, пр. Героев, д. 78",,,,,
0006,"дер. Старо-Паново, ш. Таллинское, д. 159, лит. А","дер. Старо-Паново, ш. Таллинское, д. 159, лит. А",,,,,
2510,"дер. Старо-Паново, ш. Таллинское, д. 159, лит. А","дер. Старо-Паново, ш. Таллинское, д. 159, лит. А",,,,,
0790,"п. Тайцы, ул. Вербная, д. 2, лит. А","п. Тайцы, ул. Вербная, д. 2, лит. А",,,,,
0746,"г. Тихвин, ул. Карла Маркса, 50, Б","г. Тихвин, ул. Карла Маркса, 50, Б",,,,,
0736,"г.  Тосно, ул. ул. Боярова, д. 4А","г.  Тосно, ул. ул. Боярова, д. 4А",,,,,
0319,"п. Шушары, ш. Колпинское, д. 32, стр. 1","п. Шушары, ш. Колпинское, д. 32, стр. 1",,,,,
0008,"п. Шушары, ш. Московское, д. 16, лит. А","п. Шушары, ш. Московское, д. 16, лит. А",,,,,
2560,"п. Шушары, ш. Московское, д. 16, лит. А","п. Шушары, ш. Московское, д. 16, лит. А",,,,,
0724,"п. Шушары, пр. Новгородский, д. 10, к. 2","п. Шушары, пр. Новгородский, д. 10, к. 2",,,,,
3654,"п. Шушары, пр. Новгородский, д. 3, стр. 1","п. Шушары, пр. Новгородский, д. 3, стр. 1",,,,,
3596,"дер. Энколово, ул. Центральная, д. 3","дер. Энколово, ул. Центральная, д. 3",,,,,
0793,"с.п. Юкковское, территория Остров, д. 3","с.п. Юкковское, территория Остров, д. 3",,,,,
0066,"ул. Волгоградская, д. 71","ул. Волгоградская, д. 71",,,,,
0286,"ул. Верхняя, д. 17","ул. Верхняя, д. 17",,,,,
0166,"ул. им. Блинова Ф. А., д. 50","ул. им. Блинова Ф. А., д. 50",,,,,
2642,"ул. им. Блинова Ф. А., д. 50","ул. им. Блинова Ф. А., д. 50",,,,,
0059,"ул. Усть-Курдюмская, ЗД. 73","ул. Усть-Курдюмская, ЗД. 73",,,,,
2641,"ул. Усть-Курдюмская, зд. 73","ул. Усть-Курдюмская, зд. 73",,,,,
0132,"ул. 25 Сентября, д. 35, лит. А","ул. 25 Сентября, д. 35, лит. А",,,,,
0134,"ул. Доваторцев, д. 75, лит. А","ул. Доваторцев, д. 75, лит. А",,,,,
0144,"с.  Верхнерусское, ул. Батайская, д. 2А","с.  Верхнерусское, ул. Батайская, д. 2А",,,,,
2758,"с. Верхнерусское, ул. Батайская, д. 2, лит. А","с. Верхнерусское, ул. Батайская, д. 2, лит. А",,,,,
0199,"ул. Худайбердина, д. 120","ул. Худайбердина, д. 120",,,,,
0092,"ул. 30 лет Победы, д. 74","ул. 30 лет Победы, д. 74",,,,,
2644,"ул. 30 лет Победы, д. 74","ул. 30 лет Победы, д. 74",,,,,
0093,"тракт Югорский, д. 2","тракт Югорский, д. 2",,,,,
0321,"тракт Югорский, д. 38","тракт Югорский, д. 38",,,,,
2646,"тракт Югорский, д. 2","тракт Югорский, д. 2",,,,,
0022,"пр. Октябрьский, д. 141","пр. Октябрьский, д. 141",,,,,
0106,"ш. Сысольское, д. 27","ш. Сысольское, д. 27",,,,,
2671,"ш. Сысольское, д. 27","ш. Сысольское, д. 27",,,,,
2762,"ул. 2-я Советская, д. 74, лит. А-Б","ул. 2-я Советская, д. 74, лит. А-Б",,,,,
0215,"ул. 2-я Советская, д. 74, лит. А-Б","ул. 2-я Советская, д. 74, лит. А-Б",,,,,
0046,"ул. Большая Бульварная, д. 15","ул. Большая Бульварная, д. 15",,,,,
0325,"ул. Чичерина, д. 3","ул. Чичерина, д. 3",,,,,
0114,"ш. Московское, д. 16, к. 3","ш. Московское, д. 16, к. 3",,,,,
2673,"ш. Московское, д. 16, к. 3","ш. Московское, д. 16, к. 3",,,,,
3154,"с.п. Черногубовское, д. Батино, ул. Сергея Есенина, д. 1а","с.п. Черногубовское, д. Батино, ул. Сергея Есенина, д. 1а",,,,,
